L,a,b,L,c,h,X,Y,Z,sRGB R,sRGB G,sRGB B,HEX,spot con
40.9205716,5.31708715,0.259272335,40.9205716,5.32340473,2.79165131,0.119461119,0.118150018,0.125777533,106,94,96,#6a5e60,599.1975
40.8550489,5.31711993,0.29222672,40.8550489,5.32514421,3.14578763,0.119057828,0.117742471,0.125215822,105,93,96,#695d60,609.175
40.7825939,5.29666809,0.30026309,40.7825939,5.30517208,3.24457073,0.118583774,0.117292897,0.124705479,105,93,96,#695d60,615.625
40.7384712,5.27961239,0.331643832,40.7384712,5.29001839,3.59436579,0.118289173,0.117019684,0.124294046,105,93,96,#695d60,621.605
40.6661241,5.27918808,0.326169478,40.6661241,5.28925451,3.53546973,0.117846196,0.11657262,0.123838463,105,93,95,#695d5f,628.8875
40.6408977,5.275229,0.350045562,40.6408977,5.28683014,3.79638001,0.117686601,0.116417003,0.123581601,105,93,95,#695d5f,637.4625
40.5652479,5.27393056,0.35297288,40.5652479,5.28572923,3.82897356,0.117223797,0.115951165,0.123074194,105,93,95,#695d5f,645.95
40.5216796,5.28628762,0.357735875,40.5216796,5.29837822,3.87144142,0.116976284,0.115683444,0.122770926,105,93,95,#695d5f,653.6675
40.4669198,5.29163473,0.370591994,40.4669198,5.3045958,4.00608614,0.116651355,0.115347537,0.122364461,104,92,95,#685c5f,661.5075
40.4309409,5.27885078,0.390004324,40.4309409,5.29323804,4.22536622,0.11641529,0.115127191,0.122056451,104,92,95,#685c5f,668.69
40.3842472,5.26826293,0.404281343,40.3842472,5.28375223,4.38822165,0.11611782,0.114841642,0.121698647,104,92,95,#685c5f,675.6275
40.3429868,5.27228284,0.414044792,40.3429868,5.2885158,4.49035651,0.115874123,0.114589712,0.121393799,104,92,95,#685c5f,682.665
40.2905494,5.25811195,0.432498025,40.2905494,5.2758692,4.70219209,0.115537944,0.114270071,0.120984397,104,92,94,#685c5e,689.4825
40.2519037,5.23143253,0.448232797,40.2519037,5.25059987,4.89718211,0.115267933,0.114034879,0.120675255,104,92,94,#685c5e,697.7475
40.2102928,5.25771922,0.457125024,40.2102928,5.27755386,4.96900578,0.115054366,0.113782003,0.120373118,104,92,94,#685c5e,706.675
40.1580993,5.25286091,0.462319267,40.1580993,5.27316668,5.02980426,0.114734199,0.113465344,0.12001712,104,92,94,#685c5e,717.0325
40.1074327,5.22068666,0.49940968,40.1074327,5.24451897,5.46427403,0.114385826,0.113158511,0.119552733,104,92,94,#685c5e,727.8325
40.0385224,5.22562604,0.503120407,40.0385224,5.24979025,5.49945518,0.11398061,0.112742084,0.1190967,103,91,94,#675b5e,738.1725
